Main;Set;Type;SampleSize;OutlierExclusion;Correlation;IndependentVariables;DV;mean;FPR;FPP
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;150;TRUE;0.3;1;1;0.3765;0.0728166666666667;0.3765
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;150;TRUE;0.3;2;1;0.556;0.08145;0.556
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;200;TRUE;0.3;1;1;0.3775;0.07755;0.3775
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;200;TRUE;0.3;2;1;0.5425;0.0791142857142857;0.5425
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;200;TRUE;0.3;1;1;0.3425;0.0789166666666667;0.3425
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;200;TRUE;0.3;2;1;0.493;0.0813785714285714;0.493
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;200;TRUE;0.3;1;1;0.347;0.0829;0.347
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;200;TRUE;0.3;2;1;0.5055;0.0865785714285714;0.5055
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;200;TRUE;0.3;1;1;0.396;0.0747333333333333;0.396
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;200;TRUE;0.3;2;1;0.5605;0.0836357142857143;0.5605
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;250;TRUE;0.3;1;1;0.371;0.07705;0.371
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;250;TRUE;0.3;2;1;0.5705;0.0950214285714286;0.5705
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;250;TRUE;0.3;1;1;0.324;0.0688;0.324
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;250;TRUE;0.3;2;1;0.4945;0.0824785714285714;0.4945
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;250;TRUE;0.3;1;1;0.3575;0.0853;0.3575
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;250;TRUE;0.3;2;1;0.507;0.0884571428571429;0.507
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;250;TRUE;0.3;1;1;0.38;0.0737833333333333;0.38
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;250;TRUE;0.3;2;1;0.5525;0.0762428571428572;0.5525
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;300;TRUE;0.3;1;1;0.3545;0.0732166666666667;0.3545
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;300;TRUE;0.3;2;1;0.568;0.0891357142857143;0.568
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;300;TRUE;0.3;1;1;0.3405;0.0768666666666667;0.3405
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;300;TRUE;0.3;2;1;0.4775;0.0810857142857143;0.4775
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;300;TRUE;0.3;1;1;0.324;0.0756166666666667;0.324
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;300;TRUE;0.3;2;1;0.5085;0.09245;0.5085
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;300;TRUE;0.3;1;1;0.4095;0.0800666666666667;0.4095
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;300;TRUE;0.3;2;1;0.5695;0.0821785714285714;0.5695
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;150;TRUE;0.1;1;1;0.1145;0.04365;0.1145
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;150;TRUE;0.1;2;1;0.149;0.0502785714285714;0.149
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;150;TRUE;0.1;1;1;0.1135;0.05875;0.1135
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;150;TRUE;0.1;2;1;0.1135;0.0526142857142857;0.1135
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;150;TRUE;0.1;1;1;0.1;0.04235;0.1
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;150;TRUE;0.1;2;1;0.137;0.0507214285714286;0.137
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;150;TRUE;0.1;1;1;0.118;0.0503;0.118
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;150;TRUE;0.1;2;1;0.135;0.0440857142857143;0.135
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;200;TRUE;0.1;1;1;0.1085;0.04495;0.1085
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;200;TRUE;0.1;2;1;0.1365;0.0496;0.1365
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;200;TRUE;0.1;1;1;0.101;0.0555;0.101
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;200;TRUE;0.1;2;1;0.1145;0.0513;0.1145
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;200;TRUE;0.1;1;1;0.111;0.0485;0.111
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;200;TRUE;0.1;2;1;0.1215;0.0439285714285714;0.1215
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;200;TRUE;0.1;1;1;0.1075;0.0472;0.1075
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;200;TRUE;0.1;2;1;0.129;0.0460214285714286;0.129
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;250;TRUE;0.1;1;1;0.117;0.048475;0.117
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;250;TRUE;0.1;2;1;0.1345;0.0468928571428572;0.1345
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;250;TRUE;0.1;1;1;0.101;0.0539;0.101
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;250;TRUE;0.1;2;1;0.111;0.0513142857142857;0.111
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;250;TRUE;0.1;1;1;0.1065;0.05115;0.1065
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;250;TRUE;0.1;2;1;0.141;0.0568571428571429;0.141
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;250;TRUE;0.1;1;1;0.1245;0.05;0.1245
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;250;TRUE;0.1;2;1;0.1405;0.0524071428571429;0.1405
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;300;TRUE;0.1;1;1;0.1175;0.047;0.1175
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;300;TRUE;0.1;2;1;0.14;0.0528;0.14
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;300;TRUE;0.1;1;1;0.1025;0.048475;0.1025
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;300;TRUE;0.1;2;1;0.1145;0.0485285714285714;0.1145
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;300;TRUE;0.1;1;1;0.1005;0.0488;0.1005
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;300;TRUE;0.1;2;1;0.1175;0.0484714285714286;0.1175
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;300;TRUE;0.1;1;1;0.1235;0.0518;0.1235
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;300;TRUE;0.1;2;1;0.1475;0.0570714285714286;0.1475
Main = TRUE;Ma;h1=Normal, Co=Normal;150;TRUE;0.1;1;1;0.1125;0.0446333333333333;0.1125
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;150;TRUE;0.1;1;1;0.3155;0.0790666666666667;0.3155
Main = TRUE;Ma;h1=Normal, Co=Normal;150;TRUE;0.1;2;1;0.1365;0.0501;0.1365
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;150;TRUE;0.1;2;1;0.5145;0.119673214285714;0.5145
Main = TRUE;Ma;h1=Binary, Co=Binary;150;TRUE;0.1;1;1;0.094;0.0452666666666667;0.094
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;150;TRUE;0.1;1;1;0.2745;0.0715333333333333;0.2745
Main = TRUE;Ma;h1=Binary, Co=Binary;150;TRUE;0.1;2;1;0.107;0.0472;0.107
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;150;TRUE;0.1;2;1;0.4455;0.100119642857143;0.4455
Main = TRUE;Ma;h1=Normal, Co=Binary;150;TRUE;0.1;1;1;0.1065;0.0483666666666667;0.1065
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;150;TRUE;0.1;1;1;0.2885;0.0823;0.2885
Main = TRUE;Ma;h1=Normal, Co=Binary;150;TRUE;0.1;2;1;0.126;0.0594142857142857;0.126
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;150;TRUE;0.1;2;1;0.485;0.130394642857143;0.485
Main = TRUE;Ma;h1=Binary, Co=Normal;150;TRUE;0.1;1;1;0.111;0.0511666666666667;0.111
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Normal;150;TRUE;0.1;1;1;0.3365;0.0701333333333333;0.3365
Main = TRUE;Ma;h1=Binary, Co=Normal;150;TRUE;0.1;2;1;0.124;0.0458857142857143;0.124
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Normal;150;TRUE;0.1;2;1;0.5265;0.103580357142857;0.5265
Main = TRUE;Ma;h1=Normal, Co=Normal;200;TRUE;0.1;1;1;0.1365;0.0570333333333333;0.1365
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;200;TRUE;0.1;1;1;0.324;0.0799166666666667;0.324
Main = TRUE;Ma;h1=Normal, Co=Normal;200;TRUE;0.1;2;1;0.143;0.0545571428571429;0.143
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;200;TRUE;0.1;2;1;0.5045;0.118326785714286;0.5045
Main = TRUE;Ma;h1=Binary, Co=Binary;200;TRUE;0.1;1;1;0.101;0.0479666666666667;0.101
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;200;TRUE;0.1;1;1;0.303;0.0783833333333333;0.303
Main = TRUE;Ma;h1=Binary, Co=Binary;200;TRUE;0.1;2;1;0.112;0.0497;0.112
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;200;TRUE;0.1;2;1;0.444;0.101448214285714;0.444
Main = TRUE;Ma;h1=Normal, Co=Binary;200;TRUE;0.1;1;1;0.105;0.0476333333333333;0.105
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;200;TRUE;0.1;1;1;0.278;0.07945;0.278
Main = TRUE;Ma;h1=Normal, Co=Binary;200;TRUE;0.1;2;1;0.116;0.0507714285714286;0.116
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;200;TRUE;0.1;2;1;0.467;0.121798214285714;0.467
Main = TRUE;Ma;h1=Binary, Co=Normal;200;TRUE;0.1;1;1;0.1105;0.0482666666666667;0.1105
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Normal;200;TRUE;0.1;1;1;0.348;0.0726166666666667;0.348
Main = TRUE;Ma;h1=Binary, Co=Normal;200;TRUE;0.1;2;1;0.131;0.0515142857142857;0.131
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Normal;200;TRUE;0.1;2;1;0.507;0.104376785714286;0.507
Main = TRUE;Ma;h1=Normal, Co=Normal;250;TRUE;0.1;1;1;0.118;0.0518333333333333;0.118
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;250;TRUE;0.1;1;1;0.3195;0.0748166666666667;0.3195
Main = TRUE;Ma;h1=Normal, Co=Normal;250;TRUE;0.1;2;1;0.125;0.0508714285714286;0.125
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Normal;250;TRUE;0.1;2;1;0.497;0.119248214285714;0.497
Main = TRUE;Ma;h1=Binary, Co=Binary;250;TRUE;0.1;1;1;0.094;0.0504333333333333;0.094
