Main;Set;Type;SampleSize;OutlierExclusion;Correlation;IndependentVariables;DV;mean;FPR;Pr
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;150;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;150;TRUE;0.1;2;1;0.25;0.0357142857142857;0.25
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;200;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;200;TRUE;0.1;2;1;0.25;0.0285714285714286;0.25
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;200;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;200;TRUE;0.1;2;1;0.25;0.00357142857142857;0.25
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;200;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;200;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;200;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;200;TRUE;0.1;2;1;0.25;0.0857142857142857;0.25
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;250;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;250;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;250;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;250;TRUE;0.1;2;1;0.25;0.25;0.25
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;250;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;250;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;250;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;250;TRUE;0.1;2;1;0.25;0.05;0.25
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;300;TRUE;0.1;1;1;0.5;0.125;0.5
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;300;TRUE;0.1;2;1;0.25;0.0285714285714286;0.25
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;300;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;300;TRUE;0.1;2;1;0.25;0.0142857142857143;0.25
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;300;TRUE;0.1;1;1;0.25;0.05;0.25
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;300;TRUE;0.1;2;1;0.25;0.164285714285714;0.25
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;300;TRUE;0.1;1;1;0.25;0.05;0.25
Main = TRUE;Ma + CCI;h1=Binary, Co=Normal;300;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma;h1=Normal, Co=Binary;150;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;150;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma;h1=Normal, Co=Binary;150;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Normal, Co=Binary;150;TRUE;0.1;2;1;0.5;0.115178571428571;0.5
Main = TRUE;Ma;h1=Binary, Co=Binary;150;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;150;TRUE;0.1;1;1;0.25;0.175;0.25
Main = TRUE;Ma;h1=Binary, Co=Binary;150;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Binary;150;TRUE;0.1;2;1;0.75;0.33125;0.75
Main = TRUE;Ma;h1=Binary, Co=Normal;150;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Normal;150;TRUE;0.1;1;1;0.5;0.1;0.5
Main = TRUE;Ma;h1=Binary, Co=Normal;150;TRUE;0.1;2;1;0.25;0.1;0.25
Main = TRUE;Ma + HCI + CCI;h1=Binary, Co=Normal;150;TRUE;0.1;2;1;0.5;0.0410714285714286;0.5
Main = TRUE;Ma;h1=Normal, Co=Normal;150;TRUE;0.1;1;1;0.25;0.25;0.25
