"","finalresultNorm.Pr","finalresultNorm.Power2","finalresultNorm.Power3","finalresultNorm.OutlierExclusion","finalresultNorm.IndependentVariables","finalresultNorm.Type","finalresultNorm.SampleSize","finalresultBin.Pr","finalresultBin.Power2","finalresultBin.Power3","finalresultBin.OutlierExclusion","finalresultBin.IndependentVariables","finalresultBin.Type","finalresultBin.SampleSize","finalresultNormBin.Pr","finalresultNormBin.Power2","finalresultNormBin.Power3","finalresultNormBin.OutlierExclusion","finalresultNormBin.IndependentVariables","finalresultNormBin.Type","finalresultNormBin.SampleSize","finalresultBinNorm.Pr","finalresultBinNorm.Power2","finalresultBinNorm.Power3","finalresultBinNorm.OutlierExclusion","finalresultBinNorm.IndependentVariables","finalresultBinNorm.Type","finalresultBinNorm.SampleSize"
"625",0.179666666666667,"Power2 True","Power3 FALSE","SD FALSE",1,1,150,0.221,"Power2 True","Power3 FALSE","SD FALSE",1,2,150,0.178,"Power2 True","Power3 FALSE","SD FALSE",1,3,150,0.209,"Power2 True","Power3 FALSE","SD FALSE",1,4,150
"626",0.286666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,1,150,0.333666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,2,150,0.288,"Power2 True","Power3 FALSE","SD FALSE",2,3,150,0.333333333333333,"Power2 True","Power3 FALSE","SD FALSE",2,4,150
"627",0.412,"Power2 True","Power3 FALSE","SD FALSE",3,1,150,0.439666666666667,"Power2 True","Power3 FALSE","SD FALSE",3,2,150,0.389333333333333,"Power2 True","Power3 FALSE","SD FALSE",3,3,150,0.44,"Power2 True","Power3 FALSE","SD FALSE",3,4,150
"637",0.181333333333333,"Power2 True","Power3 FALSE","SD FALSE",1,1,200,0.215666666666667,"Power2 True","Power3 FALSE","SD FALSE",1,2,200,0.175333333333333,"Power2 True","Power3 FALSE","SD FALSE",1,3,200,0.223666666666667,"Power2 True","Power3 FALSE","SD FALSE",1,4,200
"638",0.286,"Power2 True","Power3 FALSE","SD FALSE",2,1,200,0.308666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,2,200,0.282,"Power2 True","Power3 FALSE","SD FALSE",2,3,200,0.32,"Power2 True","Power3 FALSE","SD FALSE",2,4,200
"639",0.416333333333333,"Power2 True","Power3 FALSE","SD FALSE",3,1,200,0.443666666666667,"Power2 True","Power3 FALSE","SD FALSE",3,2,200,0.378,"Power2 True","Power3 FALSE","SD FALSE",3,3,200,0.445,"Power2 True","Power3 FALSE","SD FALSE",3,4,200
"649",0.173,"Power2 True","Power3 FALSE","SD FALSE",1,1,250,0.211333333333333,"Power2 True","Power3 FALSE","SD FALSE",1,2,250,0.181,"Power2 True","Power3 FALSE","SD FALSE",1,3,250,0.213666666666667,"Power2 True","Power3 FALSE","SD FALSE",1,4,250
"650",0.279666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,1,250,0.308,"Power2 True","Power3 FALSE","SD FALSE",2,2,250,0.276333333333333,"Power2 True","Power3 FALSE","SD FALSE",2,3,250,0.333,"Power2 True","Power3 FALSE","SD FALSE",2,4,250
"651",0.394666666666667,"Power2 True","Power3 FALSE","SD FALSE",3,1,250,0.428,"Power2 True","Power3 FALSE","SD FALSE",3,2,250,0.378333333333333,"Power2 True","Power3 FALSE","SD FALSE",3,3,250,0.439666666666667,"Power2 True","Power3 FALSE","SD FALSE",3,4,250
"661",0.175666666666667,"Power2 True","Power3 FALSE","SD FALSE",1,1,300,0.210666666666667,"Power2 True","Power3 FALSE","SD FALSE",1,2,300,0.181,"Power2 True","Power3 FALSE","SD FALSE",1,3,300,0.204666666666667,"Power2 True","Power3 FALSE","SD FALSE",1,4,300
"662",0.274333333333333,"Power2 True","Power3 FALSE","SD FALSE",2,1,300,0.314666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,2,300,0.265666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,3,300,0.323666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,4,300
"663",0.394666666666667,"Power2 True","Power3 FALSE","SD FALSE",3,1,300,0.434666666666667,"Power2 True","Power3 FALSE","SD FALSE",3,2,300,0.373666666666667,"Power2 True","Power3 FALSE","SD FALSE",3,3,300,0.429666666666667,"Power2 True","Power3 FALSE","SD FALSE",3,4,300
"673",0.187666666666667,"Power2 True","Power3 FALSE","SD FALSE",1,1,350,0.192666666666667,"Power2 True","Power3 FALSE","SD FALSE",1,2,350,0.185,"Power2 True","Power3 FALSE","SD FALSE",1,3,350,0.198,"Power2 True","Power3 FALSE","SD FALSE",1,4,350
"674",0.304666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,1,350,0.316333333333333,"Power2 True","Power3 FALSE","SD FALSE",2,2,350,0.267,"Power2 True","Power3 FALSE","SD FALSE",2,3,350,0.327666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,4,350
"675",0.398666666666667,"Power2 True","Power3 FALSE","SD FALSE",3,1,350,0.433,"Power2 True","Power3 FALSE","SD FALSE",3,2,350,0.380333333333333,"Power2 True","Power3 FALSE","SD FALSE",3,3,350,0.431,"Power2 True","Power3 FALSE","SD FALSE",3,4,350
"685",0.186333333333333,"Power2 True","Power3 FALSE","SD FALSE",1,1,400,0.214,"Power2 True","Power3 FALSE","SD FALSE",1,2,400,0.184333333333333,"Power2 True","Power3 FALSE","SD FALSE",1,3,400,0.204333333333333,"Power2 True","Power3 FALSE","SD FALSE",1,4,400
"686",0.265666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,1,400,0.313666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,2,400,0.292666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,3,400,0.304,"Power2 True","Power3 FALSE","SD FALSE",2,4,400
"687",0.395333333333333,"Power2 True","Power3 FALSE","SD FALSE",3,1,400,0.419666666666667,"Power2 True","Power3 FALSE","SD FALSE",3,2,400,0.377666666666667,"Power2 True","Power3 FALSE","SD FALSE",3,3,400,0.433333333333333,"Power2 True","Power3 FALSE","SD FALSE",3,4,400
"697",0.184333333333333,"Power2 True","Power3 FALSE","SD FALSE",1,1,450,0.199333333333333,"Power2 True","Power3 FALSE","SD FALSE",1,2,450,0.193,"Power2 True","Power3 FALSE","SD FALSE",1,3,450,0.202333333333333,"Power2 True","Power3 FALSE","SD FALSE",1,4,450
"698",0.278666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,1,450,0.311666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,2,450,0.273666666666667,"Power2 True","Power3 FALSE","SD FALSE",2,3,450,0.325333333333333,"Power2 True","Power3 FALSE","SD FALSE",2,4,450
