"","finalresultNormDV.Pr","finalresultNormDV.Interaction","finalresultNormDV.OutlierExclusion","finalresultNormDV.IndependentVariables","finalresultNormDV.Type","finalresultNormDV.SampleSize","finalresultNormBinDV.Pr","finalresultNormBinDV.Interaction","finalresultNormBinDV.OutlierExclusion","finalresultNormBinDV.IndependentVariables","finalresultNormBinDV.Type","finalresultNormBinDV.SampleSize"
"224",0.913,"In TRUE","SD FALSE",6,1,200,1,"In TRUE","SD FALSE",6,2,200
"225",0.899,"In TRUE","SD FALSE",6,1,250,1,"In TRUE","SD FALSE",6,2,250
"226",0.912,"In TRUE","SD FALSE",6,1,300,1,"In TRUE","SD FALSE",6,2,300
"227",0.902,"In TRUE","SD FALSE",6,1,350,1,"In TRUE","SD FALSE",6,2,350
"228",0.895,"In TRUE","SD FALSE",6,1,400,1,"In TRUE","SD FALSE",6,2,400
"229",0.906,"In TRUE","SD FALSE",6,1,450,1,"In TRUE","SD FALSE",6,2,450
"230",0.91,"In TRUE","SD FALSE",6,1,500,1,"In TRUE","SD FALSE",6,2,500
"231",0.273,"In FALSE","SD FALSE",6,1,50,0.273,"In FALSE","SD FALSE",6,2,50
"232",0.26,"In FALSE","SD FALSE",6,1,100,0.266,"In FALSE","SD FALSE",6,2,100
"233",0.276,"In FALSE","SD FALSE",6,1,150,0.269,"In FALSE","SD FALSE",6,2,150
"234",0.275,"In FALSE","SD FALSE",6,1,200,0.243,"In FALSE","SD FALSE",6,2,200
"235",0.252,"In FALSE","SD FALSE",6,1,250,0.282,"In FALSE","SD FALSE",6,2,250
"236",0.26,"In FALSE","SD FALSE",6,1,300,0.265,"In FALSE","SD FALSE",6,2,300
"237",0.259,"In FALSE","SD FALSE",6,1,350,0.257,"In FALSE","SD FALSE",6,2,350
"238",0.27,"In FALSE","SD FALSE",6,1,400,0.246,"In FALSE","SD FALSE",6,2,400
"239",0.261,"In FALSE","SD FALSE",6,1,450,0.288,"In FALSE","SD FALSE",6,2,450
"240",0.245,"In FALSE","SD FALSE",6,1,500,0.282,"In FALSE","SD FALSE",6,2,500
"241",0.998,"In TRUE","SD TRUE",7,1,50,1,"In TRUE","SD TRUE",7,2,50
"242",0.997,"In TRUE","SD TRUE",7,1,100,1,"In TRUE","SD TRUE",7,2,100
"243",0.998,"In TRUE","SD TRUE",7,1,150,1,"In TRUE","SD TRUE",7,2,150
"244",0.995,"In TRUE","SD TRUE",7,1,200,1,"In TRUE","SD TRUE",7,2,200
"245",0.998,"In TRUE","SD TRUE",7,1,250,1,"In TRUE","SD TRUE",7,2,250
"246",0.998,"In TRUE","SD TRUE",7,1,300,1,"In TRUE","SD TRUE",7,2,300
"247",0.999,"In TRUE","SD TRUE",7,1,350,1,"In TRUE","SD TRUE",7,2,350
"248",0.998,"In TRUE","SD TRUE",7,1,400,1,"In TRUE","SD TRUE",7,2,400
"249",0.998,"In TRUE","SD TRUE",7,1,450,1,"In TRUE","SD TRUE",7,2,450
"250",0.998,"In TRUE","SD TRUE",7,1,500,1,"In TRUE","SD TRUE",7,2,500
"251",0.547,"In FALSE","SD TRUE",7,1,50,0.52,"In FALSE","SD TRUE",7,2,50
"252",0.473,"In FALSE","SD TRUE",7,1,100,0.496,"In FALSE","SD TRUE",7,2,100
"253",0.506,"In FALSE","SD TRUE",7,1,150,0.482,"In FALSE","SD TRUE",7,2,150
"254",0.518,"In FALSE","SD TRUE",7,1,200,0.486,"In FALSE","SD TRUE",7,2,200
"255",0.514,"In FALSE","SD TRUE",7,1,250,0.493,"In FALSE","SD TRUE",7,2,250
"256",0.484,"In FALSE","SD TRUE",7,1,300,0.488,"In FALSE","SD TRUE",7,2,300
"257",0.497,"In FALSE","SD TRUE",7,1,350,0.457,"In FALSE","SD TRUE",7,2,350
"258",0.474,"In FALSE","SD TRUE",7,1,400,0.482,"In FALSE","SD TRUE",7,2,400
"259",0.496,"In FALSE","SD TRUE",7,1,450,0.477,"In FALSE","SD TRUE",7,2,450
"260",0.502,"In FALSE","SD TRUE",7,1,500,0.475,"In FALSE","SD TRUE",7,2,500
"261",0.962,"In TRUE","SD FALSE",7,1,50,0.997,"In TRUE","SD FALSE",7,2,50
"262",0.952,"In TRUE","SD FALSE",7,1,100,1,"In TRUE","SD FALSE",7,2,100
"263",0.958,"In TRUE","SD FALSE",7,1,150,1,"In TRUE","SD FALSE",7,2,150
"264",0.958,"In TRUE","SD FALSE",7,1,200,1,"In TRUE","SD FALSE",7,2,200
"265",0.971,"In TRUE","SD FALSE",7,1,250,1,"In TRUE","SD FALSE",7,2,250
"266",0.951,"In TRUE","SD FALSE",7,1,300,1,"In TRUE","SD FALSE",7,2,300
