"","finalresultNorm.Pr","finalresultNorm.Interaction","finalresultNorm.OutlierExclusion","finalresultNorm.IndependentVariables","finalresultNorm.Type","finalresultNorm.SampleSize","finalresultBin.Pr","finalresultBin.Interaction","finalresultBin.OutlierExclusion","finalresultBin.IndependentVariables","finalresultBin.Type","finalresultBin.SampleSize","finalresultNormBin.Pr","finalresultNormBin.Interaction","finalresultNormBin.OutlierExclusion","finalresultNormBin.IndependentVariables","finalresultNormBin.Type","finalresultNormBin.SampleSize","finalresultBinNorm.Pr","finalresultBinNorm.Interaction","finalresultBinNorm.OutlierExclusion","finalresultBinNorm.IndependentVariables","finalresultBinNorm.Type","finalresultBinNorm.SampleSize"
"41",0.361,"In TRUE","SD TRUE",2,1,50,0.502,"In TRUE","SD TRUE",2,2,50,0.529,"In TRUE","SD TRUE",2,3,50,0.371,"In TRUE","SD TRUE",2,4,50
"42",0.371,"In TRUE","SD TRUE",2,1,100,0.652,"In TRUE","SD TRUE",2,2,100,0.709,"In TRUE","SD TRUE",2,3,100,0.372,"In TRUE","SD TRUE",2,4,100
"43",0.372,"In TRUE","SD TRUE",2,1,150,0.74,"In TRUE","SD TRUE",2,2,150,0.816,"In TRUE","SD TRUE",2,3,150,0.4,"In TRUE","SD TRUE",2,4,150
"44",0.345,"In TRUE","SD TRUE",2,1,200,0.807,"In TRUE","SD TRUE",2,2,200,0.894,"In TRUE","SD TRUE",2,3,200,0.368,"In TRUE","SD TRUE",2,4,200
"45",0.368,"In TRUE","SD TRUE",2,1,250,0.845,"In TRUE","SD TRUE",2,2,250,0.935,"In TRUE","SD TRUE",2,3,250,0.409,"In TRUE","SD TRUE",2,4,250
"46",0.378,"In TRUE","SD TRUE",2,1,300,0.881,"In TRUE","SD TRUE",2,2,300,0.964,"In TRUE","SD TRUE",2,3,300,0.391,"In TRUE","SD TRUE",2,4,300
"47",0.372,"In TRUE","SD TRUE",2,1,350,0.929,"In TRUE","SD TRUE",2,2,350,0.978,"In TRUE","SD TRUE",2,3,350,0.392,"In TRUE","SD TRUE",2,4,350
"48",0.386,"In TRUE","SD TRUE",2,1,400,0.94,"In TRUE","SD TRUE",2,2,400,0.988,"In TRUE","SD TRUE",2,3,400,0.386,"In TRUE","SD TRUE",2,4,400
"49",0.398,"In TRUE","SD TRUE",2,1,450,0.979,"In TRUE","SD TRUE",2,2,450,0.995,"In TRUE","SD TRUE",2,3,450,0.39,"In TRUE","SD TRUE",2,4,450
"50",0.392,"In TRUE","SD TRUE",2,1,500,0.977,"In TRUE","SD TRUE",2,2,500,0.999,"In TRUE","SD TRUE",2,3,500,0.407,"In TRUE","SD TRUE",2,4,500
"51",0.127,"In FALSE","SD TRUE",2,1,50,0.104,"In FALSE","SD TRUE",2,2,50,0.108,"In FALSE","SD TRUE",2,3,50,0.129,"In FALSE","SD TRUE",2,4,50
"52",0.125,"In FALSE","SD TRUE",2,1,100,0.125,"In FALSE","SD TRUE",2,2,100,0.115,"In FALSE","SD TRUE",2,3,100,0.126,"In FALSE","SD TRUE",2,4,100
"53",0.098,"In FALSE","SD TRUE",2,1,150,0.111,"In FALSE","SD TRUE",2,2,150,0.096,"In FALSE","SD TRUE",2,3,150,0.123,"In FALSE","SD TRUE",2,4,150
"54",0.132,"In FALSE","SD TRUE",2,1,200,0.103,"In FALSE","SD TRUE",2,2,200,0.1,"In FALSE","SD TRUE",2,3,200,0.124,"In FALSE","SD TRUE",2,4,200
"55",0.113,"In FALSE","SD TRUE",2,1,250,0.095,"In FALSE","SD TRUE",2,2,250,0.108,"In FALSE","SD TRUE",2,3,250,0.113,"In FALSE","SD TRUE",2,4,250
"56",0.124,"In FALSE","SD TRUE",2,1,300,0.107,"In FALSE","SD TRUE",2,2,300,0.114,"In FALSE","SD TRUE",2,3,300,0.141,"In FALSE","SD TRUE",2,4,300
